iter	RMSE
0	15.80147069
1	15.54782131
2	15.29645426
3	15.05328623
4	14.81216072
5	14.57182729
6	14.34181207
7	14.1164621
8	13.89540065
9	13.67674998
10	13.46171589
11	13.25024404
12	13.04497657
13	12.8461185
14	12.64709144
15	12.45063917
16	12.26025026
17	12.07137917
18	11.88791467
19	11.70630226
20	11.52419478
21	11.35390297
22	11.18275248
23	11.01439076
24	10.84780351
25	10.68764266
26	10.53059074
27	10.37554452
28	10.22766559
29	10.08060267
30	9.931130511
31	9.780821119
32	9.640965873
33	9.49962657
34	9.362782206
35	9.234602134
36	9.09757276
37	8.970261762
38	8.844598572
39	8.715668914
40	8.596051911
41	8.475944742
42	8.35931812
43	8.245050902
44	8.127629127
45	8.012463907
46	7.901932466
47	7.794848177
48	7.687545134
49	7.583718196
50	7.479495707
51	7.38096366
52	7.281528462
53	7.185410317
54	7.086829756
55	6.992677976
56	6.900667108
57	6.808115512
58	6.714386267
59	6.624307797
60	6.536310522
61	6.453004763
62	6.36985848
63	6.28429478
64	6.200464915
65	6.12291494
66	6.042813746
67	5.966070234
68	5.890199619
69	5.814515812
70	5.743643287
71	5.671715078
72	5.599721059
73	5.529636654
74	5.459466448
75	5.393448453
76	5.329311542
77	5.265257427
78	5.202127245
79	5.136912746
80	5.076297943
81	5.013199719
82	4.955145058
83	4.896601516
84	4.838945306
85	4.782514596
86	4.724448606
87	4.670426845
88	4.616418633
89	4.564912269
90	4.514259375
91	4.461752428
92	4.412739755
93	4.363507454
94	4.313978132
95	4.26715154
96	4.218355
97	4.174115418
98	4.128831919
99	4.082344918
100	4.039429028
101	3.996180524
102	3.954715755
103	3.912873321
104	3.872410986
105	3.830543541
106	3.791389264
107	3.753124746
108	3.713578065
109	3.675018753
110	3.637064645
111	3.600612332
112	3.563256881
113	3.527590375
114	3.491522193
115	3.457109098
116	3.423398768
117	3.388330145
118	3.355799513
119	3.324110626
120	3.292680174
121	3.261395768
122	3.23056294
123	3.201588852
124	3.172144732
125	3.142378436
126	3.113543956
127	3.084482641
128	3.055582173
129	3.028099823
130	2.999945962
131	2.974455172
132	2.947002884
133	2.92229703
134	2.895585989
135	2.870239316
136	2.844248225
137	2.819838746
138	2.796219809
139	2.772973209
140	2.748600718
141	2.727304331
142	2.703946251
143	2.680754012
144	2.658471747
145	2.636819854
146	2.61428478
147	2.593593589
148	2.57297245
149	2.552863992
150	2.532646079
151	2.513135005
152	2.493402381
153	2.474473072
154	2.456090264
155	2.437560961
156	2.419543064
157	2.401784774
158	2.384534259
159	2.367181874
160	2.349800179
161	2.332836989
162	2.316146767
163	2.299779179
164	2.28308214
165	2.26634453
166	2.250703374
167	2.235725754
168	2.219918683
169	2.204040976
170	2.18879037
171	2.173794131
