iter	Passed	Remaining
0	164	164687
1	168	84118
2	172	57250
3	176	43837
4	179	35763
5	183	30383
6	187	26535
7	190	23673
8	194	21427
9	198	19625
10	202	18163
11	206	16975
12	209	15936
13	213	15037
14	217	14261
15	220	13576
16	224	12985
17	228	12453
18	231	11969
19	235	11536
20	239	11145
21	242	10789
22	246	10483
23	250	10183
24	254	9910
25	257	9652
26	261	9417
27	264	9197
28	268	8990
29	271	8794
30	275	8612
31	279	8442
32	282	8291
33	286	8147
34	290	8006
35	294	7878
36	297	7753
37	302	7646
38	305	7532
39	309	7422
40	312	7314
41	316	7210
42	319	7113
43	323	7022
44	326	6937
45	330	6852
46	333	6770
47	337	6693
48	341	6631
49	346	6575
50	350	6531
51	354	6465
52	358	6403
53	362	6348
54	367	6307
55	370	6250
56	374	6195
57	378	6141
58	381	6088
59	385	6038
60	388	5986
61	392	5936
62	395	5886
63	400	5852
64	403	5806
65	407	5762
66	410	5718
67	414	5677
68	418	5640
69	421	5604
70	425	5567
71	429	5533
72	432	5495
73	436	5466
74	441	5440
75	445	5412
76	448	5380
77	452	5348
78	456	5319
79	460	5290
80	463	5260
81	467	5233
82	470	5202
83	474	5175
84	478	5155
85	482	5128
86	486	5106
87	490	5079
88	494	5062
89	498	5040
90	501	5014
91	505	4987
92	509	4967
93	512	4944
94	516	4920
95	519	4895
96	523	4872
97	526	4850
98	530	4827
99	534	4809
100	537	4788
101	541	4766
102	544	4746
103	548	4725
104	552	4706
105	555	4688
106	559	4668
107	562	4648
108	566	4627
109	569	4607
110	573	4589
111	576	4570
112	579	4551
113	583	4532
114	586	4514
115	590	4499
116	594	4483
117	597	4467
118	601	4450
119	604	4435
120	608	4418
121	612	4404
122	615	4389
123	619	4373
124	622	4358
125	626	4343
126	629	4328
127	632	4312
128	636	4297
129	639	4281
130	643	4267
131	646	4252
132	650	4237
133	653	4222
134	656	4208
135	660	4194
136	663	4180
137	667	4166
138	670	4155
139	674	4145
140	678	4133
141	682	4121
142	686	4112
143	689	4100
144	693	4089
145	696	4075
146	700	4064
147	703	4051
148	707	4039
149	710	4026
150	713	4014
151	718	4010
152	723	4005
153	727	3998
154	731	3990
155	735	3978
156	738	3966
157	742	3955
158	745	3943
159	749	3934
160	752	3923
161	756	3912
162	759	3901
163	763	3892
164	767	3882
165	770	3872
166	774	3861
167	777	3851
168	781	3842
169	785	3832
170	788	3822
171	792	3812
172	796	3805
173	799	3794
174	802	3784
175	806	3773
176	809	3766
177	813	3757
178	817	3751
179	821	3744
180	826	3738
181	830	3732
182	834	3727
183	839	3723
184	846	3729
185	851	3725
186	855	3720
187	861	3719
188	865	3715
189	870	3709
190	874	3704
191	879	3701
192	883	3693
193	888	3690
194	893	3689
195	898	3684
196	903	3683
197	908	3680
198	912	3672
199	916	3667
200	921	3664
201	926	3660
202	930	3653
203	934	3647
204	940	3645
205	945	3643
206	950	3639
207	954	3633
208	958	3629
209	963	3624
210	967	3619
211	972	3613
212	976	3608
213	981	3603
214	986	3601
215	990	3594
216	994	3587
217	998	3581
218	1002	3575
219	1006	3569
220	1010	3560
221	1013	3551
222	1016	3543
223	1020	3535
224	1024	3527
225	1027	3518
226	1030	3510
227	1034	3502
228	1037	3493
229	1041	3485
230	1044	3477
231	1047	3468
232	1051	3460
233	1054	3452
234	1057	3443
235	1061	3435
236	1064	3427
237	1068	3419
238	1071	3411
239	1074	3403
240	1078	3395
241	1081	3388
242	1085	3381
243	1088	3373
244	1092	3365
245	1095	3358
246	1099	3352
247	1103	3344
248	1106	3337
249	1110	3332
250	1115	3327
251	1119	3322
252	1123	3316
253	1126	3308
254	1130	3301
255	1133	3294
256	1136	3286
257	1140	3279
258	1143	3272
259	1147	3265
260	1150	3258
261	1154	3251
262	1157	3244
263	1161	3237
264	1164	3230
265	1168	3223
266	1171	3216
267	1175	3209
268	1178	3202
269	1182	3196
270	1185	3189
271	1189	3182
272	1192	3175
273	1196	3169
274	1199	3163
275	1203	3156
276	1206	3149
277	1210	3142
278	1213	3136
279	1217	3131
280	1221	3124
281	1224	3118
282	1228	3112
283	1231	3105
284	1235	3099
285	1239	3094
286	1242	3087
287	1246	3082
288	1250	3075
289	1253	3069
290	1257	3063
291	1261	3057
292	1264	3050
293	1267	3044
294	1271	3038
295	1274	3031
296	1278	3025
297	1281	3019
298	1285	3013
299	1288	3007
300	1292	3002
301	1296	2997
302	1300	2990
303	1303	2984
304	1307	2979
305	1310	2972
306	1314	2966
307	1318	2961
308	1321	2955
309	1325	2949
310	1328	2944
311	1332	2937
312	1336	2934
313	1340	2928
314	1343	2922
315	1346	2915
316	1350	2909
317	1354	2904
318	1358	2899
319	1361	2893
320	1365	2887
321	1368	2881
322	1371	2875
323	1375	2869
324	1378	2863
325	1382	2857
326	1385	2852
327	1389	2846
328	1393	2842
329	1396	2836
330	1400	2830
331	1404	2825
332	1407	2820
333	1411	2815
334	1415	2810
335	1419	2804
336	1422	2799
337	1426	2793
338	1429	2788
339	1433	2782
340	1437	2777
341	1440	2772
342	1444	2766
343	1448	2761
344	1452	2756
345	1456	2752
346	1459	2746
347	1463	2741
348	1466	2736
349	1470	2730
350	1473	2724
351	1477	2719
352	1480	2714
353	1484	2709
354	1488	2703
355	1491	2698
356	1495	2692
357	1498	2686
358	1503	2683
359	1507	2679
360	1511	2675
361	1514	2669
362	1518	2664
363	1521	2658
364	1525	2653
365	1528	2647
366	1531	2642
367	1535	2636
368	1538	2631
369	1542	2625
370	1545	2620
371	1548	2614
372	1552	2609
373	1555	2604
374	1559	2599
375	1562	2593
376	1566	2588
377	1569	2583
378	1573	2578
379	1576	2572
380	1580	2567
381	1585	2564
382	1588	2559
383	1592	2554
384	1596	2549
385	1599	2544
386	1602	2538
387	1607	2534
388	1610	2530
389	1614	2525
390	1617	2520
391	1622	2515
392	1625	2510
393	1629	2506
394	1632	2501
395	1637	2497
396	1640	2492
397	1644	2488
398	1648	2483
399	1653	2480
400	1657	2475
401	1661	2470
402	1664	2465
403	1668	2461
404	1671	2456
405	1675	2451
406	1678	2446
407	1682	2441
408	1686	2436
409	1690	2432
410	1693	2427
411	1697	2423
412	1701	2418
413	1705	2414
414	1708	2408
415	1712	2404
416	1717	2400
417	1721	2396
418	1724	2391
419	1728	2386
420	1732	2382
421	1736	2378
422	1740	2374
423	1744	2370
424	1749	2367
425	1753	2363
426	1757	2359
427	1762	2355
428	1768	2354
429	1773	2350
430	1776	2345
431	1782	2344
432	1786	2339
433	1789	2334
434	1794	2330
435	1799	2327
436	1804	2324
437	1808	2320
438	1814	2318
439	1818	2314
440	1822	2309
441	1828	2307
442	1833	2305
443	1837	2300
444	1841	2296
445	1847	2294
446	1851	2290
447	1854	2285
448	1859	2282
449	1864	2278
450	1867	2273
451	1871	2268
452	1876	2266
453	1882	2263
454	1885	2258
455	1889	2254
456	1897	2254
457	1902	2251
458	1907	2248
459	1913	2246
460	1917	2242
461	1921	2237
462	1929	2238
463	1933	2233
464	1937	2229
465	1943	2226
466	1947	2222
467	1950	2217
468	1957	2215
469	1960	2211
470	1964	2206
471	1968	2201
472	1974	2199
473	1978	2195
474	1981	2190
475	1986	2187
476	1991	2183
477	1995	2178
478	1998	2173
479	2003	2170
480	2008	2166
481	2011	2161
482	2015	2156
483	2020	2154
484	2024	2150
485	2028	2145
486	2031	2140
487	2038	2138
488	2041	2133
489	2045	2128
490	2049	2125
491	2054	2120
492	2057	2116
493	2061	2111
494	2064	2106
495	2070	2103
496	2074	2099
497	2077	2094
498	2083	2091
499	2087	2087
500	2090	2082
501	2094	2077
502	2099	2074
503	2102	2069
504	2106	2064
505	2109	2059
506	2114	2056
507	2118	2051
508	2122	2047
509	2125	2042
510	2130	2038
511	2134	2034
512	2137	2029
513	2141	2024
514	2146	2021
515	2149	2016
516	2153	2011
517	2157	2007
518	2162	2003
519	2165	1999
520	2169	1994
521	2173	1990
522	2178	1987
523	2182	1982
524	2185	1977
525	2189	1972
526	2194	1969
527	2197	1964
528	2201	1960
529	2205	1955
530	2210	1952
531	2214	1947
532	2219	1944
533	2225	1941
534	2229	1938
535	2234	1934
536	2238	1929
537	2243	1926
538	2247	1922
539	2250	1917
540	2254	1913
541	2259	1909
542	2263	1905
543	2267	1900
544	2271	1896
545	2276	1892
546	2280	1888
547	2284	1884
548	2296	1886
549	2301	1883
550	2308	1881
551	2312	1876
552	2316	1872
553	2320	1868
554	2326	1865
555	2330	1861
556	2333	1856
557	2339	1853
558	2345	1850
559	2349	1846
560	2355	1843
561	2360	1839
562	2363	1834
563	2368	1831
564	2373	1827
565	2378	1823
566	2381	1818
567	2387	1815
568	2392	1812
569	2397	1808
570	2403	1805
571	2408	1802
572	2412	1797
573	2418	1795
574	2423	1791
575	2428	1787
576	2434	1784
577	2440	1781
578	2444	1777
579	2450	1774
580	2455	1770
581	2459	1766
582	2463	1762
583	2468	1758
584	2472	1754
585	2477	1750
586	2483	1747
587	2488	1743
588	2491	1738
589	2496	1734
590	2502	1731
591	2506	1727
592	2511	1723
593	2515	1719
594	2524	1718
595	2530	1714
596	2534	1710
597	2540	1708
598	2546	1704
599	2552	1701
600	2556	1696
601	2562	1694
602	2567	1690
603	2572	1686
604	2577	1682
605	2580	1678
606	2585	1673
607	2589	1669
608	2593	1665
609	2598	1661
610	2601	1656
611	2606	1652
612	2611	1648
613	2614	1643
614	2618	1639
615	2622	1635
616	2626	1630
617	2630	1625
618	2633	1621
619	2637	1616
620	2641	1611
621	2644	1607
622	2648	1602
623	2651	1597
624	2657	1594
625	2660	1589
626	2664	1584
627	2667	1580
628	2674	1577
629	2678	1573
630	2683	1568
631	2687	1564
632	2691	1560
633	2694	1555
634	2697	1550
635	2701	1546
636	2704	1541
637	2708	1536
638	2711	1531
639	2715	1527
640	2722	1524
641	2725	1519
642	2728	1515
643	2732	1510
644	2735	1505
645	2739	1501
646	2742	1496
647	2746	1491
648	2749	1487
649	2753	1482
650	2756	1478
651	2760	1473
652	2763	1468
653	2767	1463
654	2770	1459
655	2774	1454
656	2777	1450
657	2780	1445
658	2784	1440
659	2787	1436
660	2791	1431
661	2794	1426
662	2797	1422
663	2801	1417
664	2804	1412
665	2808	1408
666	2811	1403
667	2814	1398
668	2817	1394
669	2821	1389
670	2825	1385
671	2828	1380
672	2832	1376
673	2835	1371
674	2838	1366
675	2842	1362
676	2846	1358
677	2850	1353
678	2853	1349
679	2856	1344
680	2860	1339
681	2864	1335
682	2867	1330
683	2870	1326
684	2874	1321
685	2877	1317
686	2881	1312
687	2884	1308
688	2887	1303
689	2891	1299
690	2894	1294
691	2898	1289
692	2901	1285
693	2905	1281
694	2909	1276
695	2912	1272
696	2916	1267
697	2919	1263
698	2924	1259
699	2927	1254
700	2931	1250
701	2934	1245
702	2939	1241
703	2942	1237
704	2945	1232
705	2949	1228
706	2952	1223
707	2956	1219
708	2960	1214
709	2963	1210
710	2967	1206
711	2970	1201
712	2973	1197
713	2977	1192
714	2980	1188
715	2983	1183
716	2987	1179
717	2990	1174
718	2994	1170
719	2997	1165
720	3001	1161
721	3004	1156
722	3007	1152
723	3011	1147
724	3014	1143
725	3017	1138
726	3021	1134
727	3024	1130
728	3028	1125
729	3031	1121
730	3034	1116
731	3038	1112
732	3042	1108
733	3045	1103
734	3049	1099
735	3052	1095
736	3056	1090
737	3060	1086
738	3063	1081
739	3066	1077
740	3070	1073
741	3073	1068
742	3077	1064
743	3082	1060
744	3085	1056
745	3089	1051
746	3093	1047
747	3096	1043
748	3100	1038
749	3103	1034
750	3107	1030
751	3110	1025
752	3114	1021
753	3117	1017
754	3121	1012
755	3124	1008
756	3127	1004
757	3131	999
758	3134	995
759	3138	991
760	3141	986
761	3145	982
762	3149	978
763	3153	974
764	3157	969
765	3160	965
766	3164	961
767	3167	956
768	3171	952
769	3174	948
770	3178	944
771	3182	939
772	3186	935
773	3189	931
774	3193	927
775	3196	922
776	3200	918
777	3204	914
778	3207	910
779	3212	905
780	3216	901
781	3219	897
782	3223	893
783	3227	889
784	3231	884
785	3234	880
786	3238	876
787	3242	872
788	3247	868
789	3251	864
790	3254	860
791	3259	855
792	3263	851
793	3266	847
794	3270	843
795	3274	839
796	3277	834
797	3281	830
798	3285	826
799	3288	822
800	3292	818
801	3296	813
802	3300	809
803	3304	805
804	3308	801
805	3312	797
806	3315	792
807	3318	788
808	3322	784
809	3326	780
810	3331	776
811	3334	772
812	3339	768
813	3343	763
814	3346	759
815	3350	755
816	3355	751
817	3359	747
818	3362	743
819	3366	738
820	3370	734
821	3373	730
822	3377	726
823	3380	722
824	3384	717
825	3388	713
826	3392	709
827	3396	705
828	3399	701
829	3405	697
830	3408	693
831	3412	689
832	3417	685
833	3422	681
834	3425	676
835	3429	672
836	3434	668
837	3438	664
838	3441	660
839	3444	656
840	3451	652
841	3455	648
842	3459	644
843	3463	640
844	3467	636
845	3471	631
846	3475	627
847	3479	623
848	3483	619
849	3488	615
850	3492	611
851	3497	607
852	3501	603
853	3505	599
854	3508	595
855	3513	591
856	3517	586
857	3520	582
858	3524	578
859	3528	574
860	3533	570
861	3537	566
862	3541	562
863	3545	558
864	3549	553
865	3553	549
866	3557	545
867	3561	541
868	3565	537
869	3568	533
870	3572	529
871	3576	525
872	3580	520
873	3584	516
874	3588	512
875	3592	508
876	3596	504
877	3599	500
878	3604	496
879	3608	492
880	3612	487
881	3616	483
882	3620	479
883	3623	475
884	3627	471
885	3631	467
886	3634	463
887	3638	458
888	3643	454
889	3646	450
890	3651	446
891	3655	442
892	3658	438
893	3662	434
894	3665	430
895	3670	425
896	3673	421
897	3677	417
898	3680	413
899	3684	409
900	3689	405
901	3692	401
902	3696	397
903	3699	392
904	3704	388
905	3708	384
906	3711	380
907	3715	376
908	3719	372
909	3722	368
910	3726	364
911	3729	359
912	3733	355
913	3737	351
914	3741	347
915	3745	343
916	3749	339
917	3752	335
918	3756	331
919	3760	326
920	3763	322
921	3768	318
922	3772	314
923	3776	310
924	3780	306
925	3784	302
926	3788	298
927	3792	294
928	3796	290
929	3801	286
930	3805	282
931	3809	277
932	3813	273
933	3817	269
934	3821	265
935	3824	261
936	3832	257
937	3838	253
938	3842	249
939	3848	245
940	3851	241
941	3854	237
942	3858	233
943	3863	229
944	3867	225
945	3871	220
946	3874	216
947	3879	212
948	3883	208
949	3886	204
950	3890	200
951	3895	196
952	3898	192
953	3902	188
954	3906	184
955	3910	179
956	3913	175
957	3917	171
958	3920	167
959	3924	163
960	3928	159
961	3932	155
962	3935	151
963	3939	147
964	3943	143
965	3946	138
966	3950	134
967	3954	130
968	3958	126
969	3962	122
970	3965	118
971	3969	114
972	3973	110
973	3976	106
974	3980	102
975	3983	97
976	3986	93
977	3990	89
978	3993	85
979	3997	81
980	4000	77
981	4004	73
982	4008	69
983	4011	65
984	4014	61
985	4018	57
986	4021	52
987	4025	48
988	4028	44
989	4032	40
990	4035	36
991	4038	32
992	4042	28
993	4047	24
994	4050	20
995	4054	16
996	4057	12
997	4061	8
998	4065	4
999	4068	0
