id,study_hours_per_day,sleep_hours,phone_usage_hours,focus_score,study_efficiency_log,sleep_quality_log,productivity_index_log,diligence_score,stress_level_bin,productivity_score
5894,4.56,7.61,1.7,68,0.5240708505160113,6.248970877049701,5.096655032908562,-0.0101283002518623,2,55.29
3728,7.95,8.17,4.24,69,0.41685043033328983,6.334575413469171,6.173861319823148,0.8454902548132405,0,78.68
8958,6.06,9.02,3.17,57,0.3737937642705129,6.2424956019090825,5.521659050232732,-0.1030603647706041,3,60.66
7671,1.4,8.06,2.35,34,-0.8724881092157621,5.613274081134699,3.7289584526810464,-0.7122796231478251,2,37.51
5999,9.27,7.39,10.68,37,-0.23109459782231723,5.611045647604334,5.096623577904493,-0.4449316624714836,2,50.72
5751,1.56,9.99,3.34,97,-1.023188526850868,6.876295571163845,4.484790647333434,-0.0540431054218402,4,52.13
1688,1.38,7.59,7.01,85,-1.7586072619111548,6.469482847897855,4.2162072647094275,0.655218439427364,0,43.56
6836,0.85,3.88,3.92,67,-1.7558274600019919,5.560527773026148,3.2582261450067493,0.1264979245307508,3,22.0
6536,1.1,6.73,8.01,85,-2.1030248918159216,6.349226400146953,3.9873549425168062,0.3646284497920493,0,39.47
4842,8.03,3.79,4.22,97,0.43068712606412285,5.907076997597718,6.068928144811772,0.0019146237765568,0,71.12
15844,2.56,3.6,1.07,99,0.21245865121419336,5.876053695596655,4.830109755495628,-0.3698375370569147,0,51.76
196,6.89,4.73,3.07,78,0.5264280855710635,5.910634029193433,6.101895072518039,0.7944358220767699,4,59.21
518,7.01,9.81,4.04,35,0.32993161896322143,5.838750335066686,4.83715374900894,-0.2909614206972163,1,60.36
10581,1.68,8.94,9.39,68,-1.8220500116959686,6.41004329436153,4.4660989969878795,-0.0800309872261549,2,37.8
13320,4.7,9.36,1.7,92,0.5543107357057295,6.758233867538541,5.455199911431606,0.4120147247442003,2,69.69
10790,9.58,8.89,8.45,86,0.013662850477118108,6.639274345779321,6.038128061082859,-0.2101745000241764,4,71.78
16939,0.6,5.01,11.64,57,-3.047692012484703,5.654487182931324,3.1437651347762188,0.2128503697399929,1,16.14
841,2.51,5.15,8.97,37,-1.3792978308300547,5.249914627319869,4.353986046362107,-0.4455860216277972,2,24.11
9507,5.36,9.28,11.43,81,-0.841148930439909,6.622310701470548,5.586141258942894,-0.0327134488430174,2,53.12
10482,6.59,7.73,10.61,50,-0.5663134471953842,5.957131868027477,5.774000617413856,0.7845678920754957,2,51.41
5174,4.34,6.28,9.94,36,-0.9245514488815216,5.4208889189362175,4.744188547627779,-0.8305439050290464,2,31.51
19946,6.82,6.14,2.84,68,0.5743871052557353,6.034332447335157,6.084594151184186,0.9661104619564564,4,62.79
14469,3.32,6.18,9.22,68,-1.1243818018471612,6.040825976645706,5.382808503732912,0.3073353833092297,3,39.9
7608,4.09,8.85,8.72,41,-0.8656406484176375,5.893989525724146,4.622561005251258,-0.8792617728400538,2,38.88
11264,8.93,5.79,7.86,68,0.007869630271418094,5.975639996761011,6.329880892724062,0.6920104677991722,2,66.78
14020,9.55,8.16,5.35,92,0.40808634158803875,6.621032746025056,6.1873780632964035,0.4363328310506729,4,76.29
18601,5.53,3.71,10.14,71,-0.7003544189648946,5.5737117536606595,5.502544012118898,0.4568319698761732,1,41.09
19263,6.42,6.55,1.81,60,0.8262336343562154,5.973809611869261,5.923097265613086,0.3595742379912221,4,60.54
7097,0.66,9.49,8.42,97,-2.658350532549938,6.824949591125219,3.6903112785638976,-0.035492050080308,1,45.8
12596,1.62,5.22,6.4,90,-1.5190538509658313,6.152307072224812,4.9235468232258786,0.3990571181961865,1,45.64
454,8.95,5.22,0.59,50,1.727919516054624,5.564520407322694,5.566335808293164,-0.7163639095577093,0,69.01
18086,7.66,8.68,3.33,62,0.5704444417381015,6.28815591371735,5.995082683750336,0.2117992422946464,2,73.21
18220,4.23,6.15,1.14,95,0.6813961640244267,6.370328973418967,5.79003824124418,1.214258492058325,3,63.14
2862,1.15,4.41,5.71,70,-1.7638370086084318,5.732369931508114,4.342108528398538,0.4381880802053368,1,36.26
17392,4.72,5.46,10.72,98,-0.9094879845514027,6.282416268427386,5.454569037746425,-0.1915136539427699,2,44.95
3852,4.62,8.94,2.64,43,0.23841102344499815,5.951735704878986,4.795493592419601,-0.3810125279444689,4,46.53
14004,4.08,4.48,7.45,80,-0.7280694529530121,5.881649681100775,5.424280189672607,0.5665990884317001,4,38.84
182,1.62,5.59,4.2,83,-1.1662324763430891,6.139819894963606,4.299786765006769,0.4498795743956836,1,41.54
15127,9.0,7.06,9.49,64,-0.15319784507198642,6.1133281348648225,5.625881471894525,-0.22064037724181,0,62.65
18772,3.71,7.0,10.08,32,-1.0941098046997941,5.4116460518550396,4.2304876746686775,-0.734674072300658,1,27.76
13418,1.33,6.78,11.52,73,-2.24214842343829,6.204436543100695,4.104193716339914,-0.0881322344046788,2,26.41
2522,8.44,4.17,8.01,71,-0.06535276301238074,5.690595912852025,5.889658252162404,0.1266053817728286,0,60.14
16260,6.22,7.45,6.08,44,-0.12950400095454037,5.792403666309729,5.17314445287963,-0.5840827124778375,2,50.15
4982,5.1,4.69,10.38,52,-0.802616888967905,5.496676301039615,5.267279228628841,-0.6906011987987645,4,30.58
16568,8.3,7.86,11.81,36,-0.43397060110609054,5.645305544897226,5.396233964872423,0.1548196198331549,1,50.96
19446,5.98,7.07,9.24,85,-0.5378810516488214,6.398511736398798,5.538724324063476,-0.5884983923178128,2,53.91
99,2.39,8.24,5.9,74,-1.0602280456597943,6.41306543712555,5.159838647489552,0.2726869573549306,2,50.18
11032,1.04,6.3,6.81,81,-2.016184250698314,6.234998788069926,4.180582440138438,0.9119203733649194,2,36.54
10484,8.66,7.67,8.37,76,-0.07879837367598708,6.368049955665496,6.419883599474765,0.3794356455009411,4,67.2
15049,5.38,5.15,7.65,39,-0.47487094677009506,5.302558360805291,4.981542904667343,0.005074882032365,3,34.81
10928,2.54,3.07,8.07,30,-1.2728081830966003,4.522874943261261,3.451713674261985,-1.6601630001603898,3,8.81
18500,7.24,5.39,3.21,94,0.5421585587033351,6.22784016719091,6.363216609909954,1.0410561463862518,0,77.51
12008,3.29,4.49,10.08,96,-1.2142541165418574,6.066200893221999,5.544391260517924,0.8196619226967755,4,38.23
18417,1.34,8.35,9.45,68,-2.0539323644480003,6.341769244038871,4.262818121006305,0.299620354502569,4,31.69
19621,7.81,6.14,11.78,38,-0.49247648509779407,5.452410901885437,4.926197402849737,-1.1435219021097107,0,42.63
16481,7.11,3.29,2.39,56,0.7406723224227906,5.21623925551243,5.474026308113635,-0.1861082541630336,1,52.96
9188,9.39,8.95,8.13,69,0.02807959861329443,6.425760036884023,6.341248448004337,0.7893636608671799,1,78.56
15006,0.7,4.09,9.91,37,-2.746354743783713,5.019462882698935,2.708480775058605,-0.1904305950332538,4,2.34
4741,0.89,3.42,11.93,36,-2.6760840090397178,4.813159489530624,3.3744311405895506,-0.2050533805116815,0,11.77
1707,1.57,7.03,4.4,66,-1.2353233342100123,6.139841447848999,4.359825273213885,0.6815888656061411,1,42.73
254,1.1,8.3,3.0,77,-1.2909841813155656,6.4600609366562365,3.968791921201348,0.1521046539569988,0,48.93
13544,2.2,5.15,9.17,69,-1.5309848496961986,5.873103219272904,4.389570607221331,-0.0440301619346155,4,22.45
